username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
womensart1,#WOMENSART,https://twitter.com/womensart1/status/1302601182146420744,"""'Road to Haether Glen' by Moy Mackay, Scottish textile artist known for her “felt painting” #womensart… """,2020-09-06 06:34:00,"1,615",404,12,,0,womensart,1,,https://pbs.twimg.com/media/EhPE3ntXcAAOwk8.jpg
evorbachcollins,Eileen Vorbach Collins,https://twitter.com/evorbachcollins/status/1301909265242882049,"""The movement is almost imperceptible. I go outside and it seems like the boat is still and the dock is moving. It’s 10 AM but I crawl into bed and pull the fake Sherpa cover over my head. I sob into the nubby polyester and try sucking my thumb but get no satisfaction. #cnftweet… https",2020-09-04 08:45:00,6,2,0,,0,cnftweet,1,,https://pbs.twimg.com/media/EhFPZndXgAERp49.jpg
kabir_giri,Kabir Giri,https://twitter.com/kabir_giri/status/1302268185228394496,"""With Bihar's trainee IPS Tanushree, PM Modi discusses textiles and terror...… """,2020-09-05 08:31:00,44,214,0,,0,,0,,https://pbs.twimg.com/media/EhKV_zgXgAArCMz.jpg
thatbloggertela,Téla,https://twitter.com/ThatBloggerTela/status/1302901632766742528,"""My little brother has gone back to school...
 
Serenity 😌""",2020-09-07 02:28:00,2,,0,,0,,0,,
bacon_and_egggs,BACON and EGGGS ,https://twitter.com/BACON_and_EGGGS/status/1302686732534636548,"""ESTHER @tela_wangeci  chukuwa simu 
you're old enough now""",2020-09-06 12:14:00,13,2,1,tela_wangeci,1,,0,,
wrestlingsally,Sally Roberts,https://twitter.com/wrestlingsally/status/1302777973301342208,""".@Tela_WLAG 2004 Olympian and personality on @AlaskaTLF appeals to the Iranian govt to please spare #NavidAfkari’s life 

💔💔💔

#SaveNavidAfkari

#نويد_را_نكشيد

#نويد_افكارى… https",2020-09-06 18:17:00,56,26,1,Tela_WLAG | AlaskaTLF,2,NavidAfkari | SaveNavidAfkari | نويد_را_نكشيد | نويد_افكارى,4,,
taletelanews,Tale Tela,https://twitter.com/taletelanews/status/1302982338952024065,"""I’m No Longer Interested In Nengi – Ozo Tells Dorathy, Prince
#BBNaija
https",2020-09-07 07:49:00,1,,1,,0,BBNaija,1,,
thatbloggertela,Téla,https://twitter.com/ThatBloggerTela/status/1302713835552419840,"""I understand and love this album more and more every time I listen to it… """,2020-09-06 14:02:00,1,,0,,0,,0,,https://pbs.twimg.com/media/EhQrUv1WkAIElrw.jpg
thatbloggertela,Téla,https://twitter.com/ThatBloggerTela/status/1302713020586565632,"""My pet peeve is when I song starts with “And”

AND WHAT?!""",2020-09-06 13:59:00,2,,0,,0,,0,,
telaantkowiak,Tela-apathy,https://twitter.com/TelaAntkowiak/status/1302723425249775619,"""I’m going out to get some once cream.  
Anybody want some?""",2020-09-06 14:40:00,1,,1,,0,,0,,
