username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
osramcom,OSRAM,https://twitter.com/OsramCOM/status/1301090740374700037,"""#OSRAM’s #smart #textile lighting does not need an external light source to develop its full radiant power. That’s why technicians of #Shenzhen Bao ’an International Airport upgraded their uniforms with #OSRAM’s active LED modules and work safer from now on. #OccupationalSafety… https",2020-09-02 02:33:00,"2,639",138,2,,0,OSRAM | smart | textile | Shenzhen | OSRAM | OccupationalSaf,6,,https://pbs.twimg.com/media/Eg5HnZjXYAAGmPe.jpg
merakitp,Meraki,https://twitter.com/merakitp/status/1300185525085642753,"""Playeras de Cactus y Suculentas🌸🌵❣😜
Agrega a tu playera la frase de tu agrado y hazla única
Color",2020-08-30 14:36:00,,,0,,0,,0,,
nowgeekoficial,Now Geek,https://twitter.com/NowGeekoficial/status/1300449460858753025,"""Curtiram❓Comentem com o seu emoji preferido❗🎨💥 
《 Incrível trabalho / Por - DYD2WPMNUSHI (Döuyin) 👨‍🎨
.
.
#NowGeek #Arte #Artes #Art #Arts #Tela #Praia #Mar #Tintas #Instaarte #Instaart #Desfloprave #thaismetodox https",2020-08-31 08:04:00,,,0,,0,NowGeek | Arte | Artes | Art | Arts | Tela | Praia | Mar | Tintas | Instaarte | Instaart | Desfloprave | thaismetodox,13,,
infotextil,Info@Textil,https://twitter.com/InfoTextil/status/1302732306541576192,"""Quién es la diseñadora de Tierra del Fuego que fue premiada en Hong Kong ~ https",2020-09-06 15:16:00,,,0,,0,,0,,https://pbs.twimg.com/media/EhQ8IPmXkAAZn7y.jpg
ciudadelfuturo,Ciudades del Futuro,https://twitter.com/ciudadelfuturo/status/1302547088899629056,"""🙄 Adivina, #adivinanza",2020-09-06 03:00:00,6,,0,,0,adivinanza,1,,https://pbs.twimg.com/media/Eg0-dquWoAM477G.jpg
nyce_mx,NYCE S.C.,https://twitter.com/NYCE_MX/status/1301595076234113024,"""La Unidad de Verificación de Información Comercial NYCE cuenta con la acreditación y la aprobación para colaborar con la Industria #Textil, conforme la",2020-09-03 11:57:00,,,0,,0,Textil,1,,https://pbs.twimg.com/media/EhArhKkVgAEXzmS.jpg
infotextil,Info@Textil,https://twitter.com/InfoTextil/status/1302950999703859202,"""“Regalan” los alquileres por crisis",2020-09-07 05:45:00,1,,0,,0,,0,,https://pbs.twimg.com/media/EhUDB3qXsAY4BmU.jpg
grillo_grillo1,Grillo SERIGRAFIA,https://twitter.com/grillo_grillo1/status/1303010283888271360,"""👑💦 TOALLAS PERSONALIZADAS ❤️💦 

📱📱 951 607 37 87  📱📱 

🦗💦 #grilloplayeras  🦗💦 
.
❌ toallas personalizadas para ti empresa o negocio   😊

👉🏼 #playera #taza #invitacion #toallas #alberca #gimnasio #gym #hotel #restautant #serigrafia #sublimacion #textil #artesanal 👑💦… https",2020-09-07 09:40:00,,,0,,0,grilloplayeras | playera | taza | invitacion | toallas | alberca | gimnasio | gym | hotel | restautant | serigrafia | sublimacion | textil | artesanal,14,,https://pbs.twimg.com/media/EhU4zJiWkAAIImC.jpg
grupoekamat,Ekamat,https://twitter.com/GrupoEkamat/status/1302904728439926786,"""¿Tienes dudas sobre nuestro #ERP #textil? Algunas de las preguntas más frecuentes aquí",2020-09-07 02:41:00,3,,0,,0,ERP | textil,2,,https://pbs.twimg.com/media/EhTY8dFXYAAm9AK.jpg
bauforschung,Bauforschung aktuell,https://twitter.com/Bauforschung/status/1301175101593976832,"""Der Bau des ersten adaptiven Hochhaus der Welt schreitet voran 😀
➡️#Forschungsprojekt des #SFB1244 am ILEK der @Uni_Stuttgart
🌐https",2020-09-02 08:08:00,4,2,2,Uni_Stuttgart,1,Forschungsproje | SFB1244,2,,https://pbs.twimg.com/media/Eg6rQgOXgAA3jUE.jpg
